Assessment centre,operated by,Website,Phone number,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations
St. Joseph's Healthcare Hamilton - East End,St. Joseph's Healthcare Hamilton - East End,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,No,,,,,,,,,,,,,,
Carling Heights Optimist Community Centre,St. Joseph's Healthcare London and London Health Sciences Centre,https://www.healthunit.com/covid-19-concerns,,,No,,,,,,,,,,,,,,
Kitchener-Waterloo-Wilmot-Wellesley-Woolwich (KW4) Community Assessment Centre - Westmount Plaza,St. Mary's General Hospital and Westmount Place Walk-In Clinic,https://www.smgh.ca/care-services-support/covid-19-updates/,519-954-0111,,No,,,,,,,,,,,,,,
St. Mary's General Hospital - Bathurst Site,St. Mary's General Hospital Cardiac Rehabilitation Centre,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-885-9517,,No,,,,,,,,,,,,,,
St. Thomas Elgin General Hospital,St. Thomas Elgin General Hospital,https://www.stegh.on.ca/node/626,519-631-2030 ext. 6210,,No,,,,,,,,,,,,,,
Tillsonburg District Memorial Hospital,Tillsonburg District Memorial Hospital,,,No,No,,,,,,,,,,,,,,
West Haldimand General Hospital,West Haldimand General Hospital,https://www.whgh.ca/,905-768-3311 Ext. 1113,,No,,,,,,,,,,,,,,
Windsor Regional Hospital - Ouellette Campus,Windsor Regional Hospital - Ouellette Campus,https://www.wrh.on.ca/coronavirus,519-254-5577,,No,,,,,,,,,,,,,,
Woodstock General Hospital,Woodstock General Hospital,https://www.wgh.on.ca/,1-855-905-6148,Yes,No,,,,,,,,,,,,,,
Stratford General Hospital,Stratford General Hospital,,519-272-8210 ext 2747,,No,,,,,,,,,,,,,,
Niagara Health - Welland Hospital Site (WHS),Niagara Health,https://www.niagarahealth.on.ca/site/news/2020/05/25/niagara-health-expands-testing-at-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,
Killaloe - Killaloe Curling Club/Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,,1-844-727-6404,,No,,,,,,,,,,,,,,
Royal Victoria Regional Health Centre - Clinic C,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,,No,Uttara,Collected hospital contact info,bcfmc.info@bcfht.ca,Barrie and Community main line,,,,,,,,,,
