active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,phu_id,phu,phu_fr,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,temporarily_closed,pharmacy,community_lab,assessment_centre,email,online_appointments,phone_appointments,symptomatic,general_population,age_threshold,weeks_pregnant,french_language_services,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr
Yes,119,Chatham-Kent Health Alliance,Alliance Chatham-Kent pour la santé,Chatham-Kent Health Alliance,Alliance Chatham-Kent pour la santé,Chatham,1001 Grand Avenue West,,N7M 5W4,ON,42.394330,-82.222332,26,Chatham-Kent Health Unit,Bureau de santé de Chatham-Kent,519-436-2556,http://www.assessmentbooking.ca,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,Yes,Yes,No,No,,,,,,Yes,,https://assessmentbooking.simplybook.plus/v2/,TRUE,Yes,,0m,,,,,,,,"St. Clair College HealthPlex, Chatham Campus 
Please visit  www.assessmentbooking.ca and complete the online form to schedule an appointment. Those without technology may call 519-436-2556.
Last appointment at 4:30 p.m.",
Yes,120,Erie Shores Healthcare,Erie Shores Healthcare,Erie Shores Healthcare,Erie Shores Healthcare,Leamington,194 Talbot Street West,194 rue Talbot Ouest,N8H 1N9,ON,42.048807,-82.614178,27,Windsor-Essex County Health Unit,Bureau de santé du comtè de Windsor-Essex,519-326-2373 ext. 4263,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,,Yes,Yes,No,,Yes,,,,Yes,,https://eshc.simplybook.me/v2/,,Yes,,1y,,No,No,,,Yes,No,Blue assessment centre signage directs persons to spearate entrance. Spanish speaking intepreter will be joining the team in the near future.,
Yes,121,Goderich COVID Assessment Centre - Memorial Arena,Goderich COVID Assessment Centre - Memorial Arena,"Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health","Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health",Goderich,180 McDonald Street,180 McDonald Street,N7A 3NS,ON,43.736999,-81.713945,28,Huron Perth Health Unit,Bureau de santé de Huron Perth,519-524-6060 ext. 263,https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,closed,closed,,Yes,No,Yes,,Yes,,,,Yes,,,,Yes,,0m,,No,No,,Yes,,No,Stay in your car and drive up to the underpass. Do not leave your car.,Situé dans la salle des Chevaliers de Colomb.
,122,Grand River Hospital COVID-19 Testing Centre,Grand River Hospital COVID-19 Testing Centre,Grand River Hospital,Hôpital Grand River,Kitchener,835 King Street West,835 rue King Ouest,N2G 1G3,ON,43.456239,-80.511992,25,"Region of Waterloo, Public Health",Bureau de santé publique de la région de Waterloo,519-749-4300 ext. 6824,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,Permanently CLOSED,
Yes,123,Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital,Hôpital Grand River,Kitchener,15 Charles Street West,,N2G 1H3,ON,43.449228,-80.491156,25,"Region of Waterloo, Public Health",Bureau de santé publique de la région de Waterloo,226-806-5690,https://www.grhosp.on.ca/,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,07:30-18:00,,Yes,No,Yes,,Yes,,,,Yes,,https://covidtestregistration.grhosp.on.ca/,TRUE,Yes,,2y,,No,No,,Yes,,Yes,"effective September 24, 2020 our hours remain 7:30 am to 6:00 pm however appointments via preregistration are now required. Residents who require testing must preregister via an online form for the following day - https://covidtestregistration.grhosp.on.ca/ - and if they need assistance can call 226-806-5690.
We are also now directing that residents should only seek testing if:
•	Showing COVID-19 symptoms; 
•	Have been exposed to a confirmed case of the virus, as informed by your public health unit or exposure notification through the COVID Alert app; 
•	A resident or work in a setting that has a COVID-19 outbreak, as identified and informed by your local public health unit; and 
•	Eligible for testing as part of a targeted testing initiative directed by the Ministry of Health or the Ministry of Long-Term Care.",
Yes,138,Grand Bend Testing Centre,Grand Bend Testing Centre,Grand Bend Area Community Health Centre,Grand Bend Area Community Health Centre,Grand Bend,69 Main Street East,69 rue Main Est,N0M 1T0,ON,43.343664,-81.480958,28,Huron Perth Health Unit,Bureau de santé de Huron Perth,519-238-2362 ext. 111,http://www.GBACHC.ca/COVID-19,13:30-16:00,13:30-16:00,13:30-16:00,13:30-16:00,13:30-16:00,closed,closed,,Yes,No,Yes,,Yes,,,,Yes,,https://gbachc.ca,,Yes,,0m,,No,No,,Yes,,No,"Not open during holidays. 

Drive up with appointment to the back parking lot.  You will be met by a parking attendant and further instructions will be provided
Interpretive services available (limited)
Appointment only – book on-line at gbachc.ca/covid-19
Drive up only – the test will be completed while you are sitting in your car",
Yes,124,Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services,Grey Bruce Health Services,Owen Sound,"1100 16th Avenue East, Unit C",,N4K 6C1,ON,44.571059,-80.915745,29,Grey Bruce Health Unit,Bureau de santé de Grey Bruce,519-378-1466,https://gbhs.simplybook.me/v2/,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,08:00-16:00,08:00-16:00,,Yes,No,No,,Yes,,,,Yes,,https://gbhs.simplybook.me/v2/,,Yes,,6m,,Yes,Yes,,Yes,,Yes,The Sun Life building north of the hospital. Online booking system. For general information please call 519-378-1466,
,126,Dave Andreychuk Mountain Arena Assessment Centre,Dave Andreychuk Mountain Arena Assessment Centre,Hamilton Family Health Team,Hamilton Family Health Team,Hamilton,25 Hester Street,26 rue Hester,L9A 2N3,ON,43.225590,-79.880934,30,Hamilton Public Health Services,Services de santé publique d'Hamilton,905-974-9848,https://www.hamilton.ca/coronavirus/assessment-centres,,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,,Yes,No,Yes,No,Yes,Yes,,,Yes,,,,Yes,,4y,,No,No,,Yes,,Yes,,
Yes,127,Hamilton Health Sciences,Hamilton Health Sciences,Hamilton Health Sciences,Hamilton Health Sciences,Hamilton,690 Main Street West,690 rue Main Ouest,L8S 1A4,ON,43.260440,-79.897864,30,Hamilton Public Health Services,Services de santé publique d'Hamilton,905-974-9848,http://www.HamiltonCovidTest.ca,11:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,Yes,No,No,,,,,,Yes,,https://www.stjoes.ca/coronavirus/covid-19-test-home,,Yes,,,,,,,,,,"Phone line (905-974-9848) available for those without internet access, between hours of 9-5pm.",
Yes,347,Grey Bruce Health Services - Southampton,,Grey Bruce Health Services,,Southampton,340 High Street,,N0H 2L0,ON,44.493780,-81.365455,,Grey Bruce Health Unit,,519-378-1466,https://www.gbhs.on.ca,16:00-20:00,16:00-20:00,,16:00-20:00,,,,,Yes,No,No,,,,,,Yes,,https://gbhssouthampton.simplybook.me/v2/,TRUE,,,,,,,,,,,"To schedule a COVID-19 test, visit www.gbhs.on.ca or call 519-378-1466.",
Yes,350,Grey Bruce Health Services Lion's Head,,Grey Bruce Health Services Owen Sound,,Lion's Head,22 Moore Street,,N0H 1W0,ON,44.986125,-81.249163,,Grey Bruce Health Unit,,519-378-1466,http://www.gbhs.on.ca,,,08:30-13:30,,08:30-13:30,,,,Yes,No,No,,,,,,Yes,,https://www.gbhs.on.ca/news/book-a-covid-19-test/,TRUE,,,,,,,,,,,"To schedule a COVID-19 test,  visit www.gbhs.on.ca or call 519-378-1466.",
Yes,125,Guelph General Hospital,Guelph General Hospital,Guelph General Hospital,Hôpital général de Guelph,Guelph,400 Southgate Drive,400 Southgate Drive,N1G 4P5,ON,43.500949,-80.219051,4,Wellington-Dufferin-Guelph Health Unit,Bureau de santé de Wellington-Dufferin-Guelph,226-773-1922,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-17:00,,Yes,Yes,No,,,,,,Yes,,,,Yes,,3m,,,,,,,,"How to make an appointment (phone-in only)

•	Call 1-226-773-1922 from Monday to Friday, 9:00 a.m. to 5:00 p.m Saturday, Sunday and holidays from 10:00 a.m. to 3:00 p.m.

•	You be asked some screening questions then provided an appointment time for the same day or next day.

•	If the two-day capacity is reached, you will be asked to call back the next day.



Holiday hours: 09:00-16:00",
Yes,131,Oakridge Arena,Oakridge Arena,Thames Valley Family Health Team,Thames Valley Family Health Team,London,825 Valetta Street,825 rue Valetta,N6H 2Z2,ON,42.975279,-81.305895,31,Middlesex-London Health Unit,Bureau de santé de Middlesex-London,519-667-6886,https://covidtestinglm.ca/,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,Yes,No,,,,,,Yes,,https://covidtestinglm.ca/,,Yes,,,,,,,,,,Book an appointment online at https://covidtestinglm.ca/,
Yes,132,The Wellington Assessment Centre - Fergus,,Groves Memorial Hospital,,Fergus,235 Union Street East,,N1M 1M3,ON,43.705713,-80.373354,4,Wellington-Dufferin-Guelph Health Unit,Bureau de santé de Wellington-Dufferin-Guelph,226-383-2415,http://www.whcacovid.com,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,Yes,Yes,No,No,Yes,,,,Yes,,,,Yes,,2y,,No,No,,Yes,,Yes,"Old Groves Memorial District Hospital (previous ER location)
The entrance will be marked with signage.
CLOSED12:30-1:30 and on weekends/CLOSEDstatutory holidays
Appointment-based testing starts Tuesday, October 6. Call 226-383-2415",
Yes,133,Niagara Health Greater Niagara General Site,Niagara Health Greater Niagara General Site,Niagara Health,Niagara Health,Niagara Falls,5546 Portage Road,,L2E 6X2,ON,43.094126,-79.089606,32,Niagara Region Public Health Department,Service de santé publique régionale de Niagara,905-378-4647 ext. 42819,https://www.niagarahealth.on.ca/centres,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,Yes,No,No,Yes,No,,,,Yes,,https://nhappointmentscheduler.powerappsportals.com/,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Open 7 days a week. Online booking available at www.niagarahealth.on.ca/centres, or by calling 905-378-4647 ext. 42819
CLOSEDstatutory holidays. Can test all ages.",
Yes,134,Niagara Health St. Catharines Site,Niagara Health St. Catharines Site,Niagara Health,Niagara Health,St. Catharines,1200 Fourth Avenue,1200 4e avenue,L2S 0A9,ON,43.153843,-79.278522,32,Niagara Region Public Health Department,Service de santé publique régionale de Niagar,905-378-4647 ext. 42819,https://www.niagarahealth.on.ca/centres,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,Yes,No,No,Yes,Yes,,,,Yes,,https://nhappointmentscheduler.powerappsportals.com/,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Open 7 days a week. Online booking available at www.niagarahealth.on.ca/centres, or by calling 905-378-4647 ext. 42819.
CLOSEDstatutory holidays. Can test all ages.",
Yes,164,Haldimand War Memorial Hospital,Haldimand War Memorial Hospital,Haldimand War Memorial Hospital,Haldimand War Memorial Hospital,Dunnville,400 Broad Street,,N1A 2P7,ON,42.905645,-79.625175,,Haldimand-Norfolk Health Unit,,905-774-7431,http://www.hwmh.ca,09:00-11:00&12:00-14:00,,09:00-11:00&12:00-14:00,,09:00-11:00&12:00-14:00,,,,Yes,No,No,No,,,,,Yes,,,TRUE,Yes,,3y,,,,,,,,"East side of the hospital in the previous Pharmasave location.  Enter the east parking lot next to the Hospital Foundation office (322 Broad).  Signage and a volunteer will be present.  Park in the designated spots.  Do not arrive no more than 5 min prior to your appointment.  You will have to walk through the centre. If you have mobility concerns please let us know and we can make other arrangements. 

CLOSEDstatutory holidays.",
Yes,136,Six Nations COVID-19 Assessment & Drive-Through Test Centre,Six Nations COVID-19 Assessment & Drive-Through Test Centre,Restricted to Six Nations members and providers only,Accès réservé uniquement aux membres et aux fournisseurs des Six Nations,Ohsweken,1738 Fourth Line Road,1738 chemin Fourth Line,N0A 1M0,ON,43.069122,-80.122986,35,Brant County Health Unit,,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,,,,,
Yes,137,South Bruce Grey Health Centre - Kincardine Site,South Bruce Grey Health Centre - Kincardine Site,South Bruce Grey Health Centre,South Bruce Grey Health Centre,Kincardine,1199 Queen Street,1199 rue Queen,N2Z 1J4,ON,44.189085,-81.625465,29,Grey Bruce Health Unit,Bureau de santé de Grey Bruce,226-257-1500,https://www.sbghc.on.ca/,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-14:00,closed,,Yes,No,No,,Yes,,,,Yes,,https://booking.sbghc.on.ca/,TRUE,Yes,,0m,,Yes,No,,Yes,,Yes,"Arrive at scheduled time (no more than 5 minutes early) Follow signage to designated COVID-19 Assessment Centre parking area, and enter the Assessment Centre attached to the hospital following the designated signage. 

For results or general questions:

519-370-2400 ext. 4313

To book an appointment (if unable to do through online booking system through https://www.sbghc.on.ca/ ) call (226) 257-1500",
Yes,128,Hanover and District Hospital,Hôpital de Hanover et du district,Hanover and District Hospital,Hôpital de Hanover et du district,Hanover,90 7th Avenue,90 7e avenue,N4N 1N1,ON,44.141506,-81.029323,29,Grey Bruce Health Unit,Bureau de santé de Grey Bruce,,https://www.hanoverhospital.on.ca/news.php?pgid=121,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,,,Yes,No,No,,Yes,,,,Yes,,https://hdh.appointlet.com/s/assessment,,Yes,,0m,,No,Yes,,No,,No,,
Yes,255,Humber River Hospital - Church Street,,Humber River Hospital,Hôpital Humber River,North York,200 Church Street,,M9N 1N8,ON,43.709845,-79.510333,22,Toronto Public Health,Bureau de santé de Toronto,416-243-4333,https://www.hrh.ca/covid-19/,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,09:00-17:00,09:00-17:00,,Yes,No,No,,,,,,,,https://www.hrh.ca/covid-19/,TRUE,Yes,,,,,,,,,,"Please see the information on the Humber River Hospital website for booking appointments online, or call (416) 243-4333 for general inquiries, information about booking an appointment or accessing your test results.",
Yes,140,Carling Heights Optimist Community Centre,Carling Heights Optimist Community Centre,Thames Valley Family Health Team,,London,656 Elizabeth Street,656 rue Elizabeth,N5Y 6L3,ON,42.998736,-81.228895,31,Middlesex-London Health Unit,Bureau de santé de Middlesex-London,,http://www.covidtestinglm.ca,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,11:00-19:00,11:00-19:00,,Yes,Yes,No,,Yes,,,,Yes,,,,Yes,,0m,,Yes,No,,Yes,,Yes,,
Yes,102,Humber River Hospital Assessment Centre - Finch,Centre d'évaluation de l'Hôpital Humber River,Humber River Hospital,Hôpital Humber River,Toronto,2111 Finch Avenue West,2111 avenue Finch Ouest,M3N 1N1,ON,43.754813,-79.525921,22,Toronto Public Health,Bureau de santé de Toronto,416-747-5474,https://www.hrh.ca/covid-19/,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,08:00-16:00,08:00-16:00,,Yes,No,No,,Yes,,,,Yes,,https://portal.healthmyself.net/hrhcovidtest/guest/#/nae/book/type,TRUE,Yes,,6m,,No,No,,Yes,,Yes,"Use the west entrance only. Please see the information on the Humber River Hospital website for booking appointments online, or call (416) 747-5474 for general inquiries, information about booking an appointment or accessing your test results.",
Yes,142,St. Mary's General Hospital - Bathurst Site,Hôpital général St. Mary - Site Bathurst,St. Mary's General Hospital Cardiac Rehabilitation Centre,Hôpital général St. Mary - Centre de réadaptation cardiaque,Waterloo,"50 Bathurst Drive, Unit 1","50 allée Bathurst, 1",N2V 2C5,ON,43.507454,-80.538638,25,"Region of Waterloo, Public Health",Bureau de santé publique de la région de Waterloo,519-885-9517,https://covid19.smgh.ca:4433/,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,No,,Yes,,,,Yes,,https://covid19.smgh.ca:4433/,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Residents who require testing must preregister for same or next day appointments via an online form at https://covid19.smgh.ca:4433/. Booking begins daily at 7:00 a.m.. For assistance, or if you can’t book online, call 519-885-9517. Appointments are booked for those who • Are showing COVID-19 symptoms; • Have been exposed to a confirmed case of the virus, as informed by your public health unit or your COVID Alert app; • Live or work in a setting that has a COVID-19 outbreak, as identified and informed by your local public health unit; and • Are eligible for testing as part of a targeted testing initiative directed by the Ministry of Health or the Ministry of Long-Term Care. 
•	Same or next day appointment by pre-registration  
•	Book only one appointment per person per day
•	Call 226-989-4966 to cancel",
Yes,143,St. Thomas Elgin General Hospital,Hôpital général de St. Thomas-Elgin,St. Thomas Elgin General Hospital,Hôpital général de St. Thomas-Elgin,St. Thomas,189 Elm Street,189 rue Elm,N5R 5C4,ON,42.763425,-81.180145,33,Southwestern Public Health,Bureau de santé publique du Sud-Ouest,519-631-2030 ext. 6210,https://www.stegh.on.ca/node/626,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,Yes,No,No,Yes,,,,,Yes,,,,Yes,,0m,,,,,Yes,,,,
Yes,129,Joseph Brant Hospital,Joseph Brant Hospital,Joseph Brant Hospital,Joseph Brant Hospital,Burlington,1245 Lakeshore Boulevard,1245 boulevard Lakeshore,L7S 0A2,ON,43.317101,-79.802344,3,Halton Region Health Department,Service de santé de la région d'Halton,905-632-3737 ext. 6550,https://www.josephbranthospital.ca/en/redevelopment-expansion/covid-19-assessment-testing.asp?_mid_=33300,08:00-19:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,Yes,No,No,,Yes,,,,Yes,,https://www.josephbranthospital.ca/en/redevelopment-expansion/covid-19-assessment-testing.asp?_mid_=33300,TRUE,Yes,,1y,,Yes,Yes,,Yes,,Yes,"Enter the Assessment Centre from North Shore Blvd, enter the North Tower Parking Lot and follow the signage to the Assessment Centre.",
Yes,718,Kettle & Stony Point First Nation Health Centre,,Bluewater Health,,Kettle & Stony Point FN,A-6275 Indian Lane,,N0N 1J1,ON,43.178500,-81.996556,,Lambton Health Unit,,519-786-5647,,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,,,,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,,,,This site is for Aamjiwnaag/Kettle & Stoney Point/Walpole Island members only,
Yes,146,Windsor Regional Hospital - Ouellette Campus,Hôpital régional de Windsor - Campus Ouellette,Windsor Regional Hospital,Hôpital régional de Windsor,Windsor,1030 Ouellette Avenue,1030 avenue Ouellette,N9A 1E1,ON,42.309167,-83.031869,27,Windsor-Essex County Health Unit,Bureau de santé du comtè de Windsor-Essex,519-973-4443,https://www.wrh.on.ca/OnlineBooking,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Yes,No,No,,Yes,,,,Yes,,https://app.getcorigan.ca/,,Yes,,0m,,Yes,Yes,,Yes,,Yes,"Located immediately south of the Emergency Department on Goyeau Street.

To book appointment on-line go to https://www.wrh.on.ca/OnlineBooking 

Or if do not have access to a mobile device or computer call 519 973 4443 

Holiday hours 9 a.m.-4p.m.",
Yes,147,Woodstock General Hospital,Hôpital général de Woodstock,Woodstock General Hospital,Hôpital général de Woodstock,Woodstock,310 Juliana Drive,310 chemin Juliana,N4V 0A4,ON,43.106722,-80.753799,33,Southwestern Public Health,Southwestern Public Health,855-905-6148,https://www.wgh.on.ca/,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,Yes,No,No,Yes,Yes,,,,Yes,,,,Yes,,0m,,No,No,,Yes,,Yes,Located in the trailer by the front entrance of the hospital. Parking is in the hospital visitor lot. You will be given all instructions at the time of your appointment booking.,Situé dans la roulotte à l’entrée avant de l’hôpital. Stationnez-vous dans le stationnement des visiteurs de l’hôpital.
Yes,148,Huron Perth Healthcare Alliance COVID-19 Assessment Centre,,Stratford General Hospital,Stratford General Hospital,Stratford,353 McCarthy Road,,N5A 7S7,ON,43.3859420,-80.9841480,28,Huron Perth Health Unit,Bureau de santé de Huron Perth,519-272-8210 ext. 2747,http://www.hpha.ca,09:30-20:30,09:30-20:30,09:30-20:30,09:30-20:30,09:30-20:30,,,,Yes,No,No,No,Yes,,,,Yes,,https://outlook.office365.com/owa/calendar/HPHA1@hpha.ca/bookings/,TRUE,Yes,,2y,,Yes,No,,Yes,,Yes,"Book online through our website http://www.hpha.ca
Located at: Stratford Rotary Complex-Hall D
Clients should bring their health card. French language services available upon request when booking the appointment.",
Yes,149,Niagara Health - Welland Hospital Site (WHS),Santé de Niagara - Hôpital de Welland,Niagara Health,Santé de Niagara,Welland,65 Third Street,"65, Troisième rue",L3B 4W6,ON,42.979233,-79.249210,32,Niagara Region Public Health Department,,905-378-4647 ext. 42819,https://www.niagarahealth.on.ca/centres,09:00-17:00,,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,No,Yes,No,,,,Yes,,www.niagarahealth.on.ca/centres,TRUE,Yes,,0m,,No,No,,Yes,,Yes,"Closed statutory holidays.

Online booking available at www.niagarahealth.on.ca/centres, or by calling 905-378-4647 ext. 42819. Dedicated parking spots can be accessed from MacLean Place and Plymouth Road.  Can test all ages.",
Yes,150,Killaloe - Killaloe Curling Club/Renfrew County Virtual Triage and Assessment Centre,Killaloe - Club de curling de Killaloe/Centre virtuel de triage et d'évaluation du comté de Renfrew,Arnprior Regional Health,Arnprior Regional Health,Killaloe,34 Cameron Street,"34, rue Cameron",K0J 2A0,ON,45.558080,-77.415574,14,Renfrew County and District Health Unit,,844-727-6404,https://rcvtac.ca/,,,,14:00-15:30,,,,,Yes,No,No,Yes,Yes,,,,Yes,,,,Yes,,6m,,Yes,No,,Yes,,No,"Please call to schedule an appointment 1-844-727-6404
Call ahead and have your OHIP card ready. A medical receptionist will take your details and arrange for a physician or nurse practitioner to contact you via telephone. Areas of focus are patients without a family physician and those with potential COVID.",
Yes,151,Royal Victoria Regional Health Centre - COVID-19 Testing Centre,,Royal Victoria Regional Health Centre,Centre régional de santé Royal Victoria,Barrie,29 Sperling Drive,,L4M 6K9,ON,44.411290,-79.685110,,Simcoe Muskoka District Health Unit,,705-797-3120,https://www.rvh.on.ca,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,https://www.rvh.on.ca/,,Yes,,3m,,Yes,Yes,,,Yes,Yes,Assessment Centre location is the previous Barrie Police Headquarters. Appointment only.  To book online visit www.rvh.on.ca.,
Yes,152,North Durham COVID-19 Assessment Centre,,Medical Associates of Port Perry and Uxbridge Family Health Center,,Port Perry,19 Jeffery Street,,L9L 1Z4,ON,44.086166,-78.953206,12,Durham Region Health Department,Service de santé de la région de Durham,905-985-3358,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-16:00,12:00-16:00,12:00-16:00,,Yes,No,No,Yes,,,,,Yes,,covidswab.lh.ca,,Yes,,1y,,,,,,,,,
Yes,153,Goderich Assessment Centre,Goderich Assessment Centre,"Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health","Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health",Goderich,180 McDonald Street,,N7A 3N5,ON,43.737002,-81.715136,28,Huron Perth Health Unit,Bureau de santé de Huron Perth,519-524-6060 ext. 263,https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,closed,closed,,Yes,No,No,,Yes,,,,Yes,,,,Yes,,0m,,No,No,,Yes,,No,"Please call and schedule an appointment.



Stay in your car and drive up to the underpass. Do not leave your car.",
Yes,141,Kitchener-Waterloo-Wilmot-Wellesley-Woolwich (KW4) COVID-19 Assessment Centre - Westmount Plaza,Kitchener-Waterloo-Wilmot-Wellesley-Woolwich (KW4) COVID-19 Assessment Centre - Westmount Plaza,St. Mary's General Hospital and Westmount Place Walk-In Clinic,St. Mary's General Hospital and Westmount Place Walk-In Clinic,Waterloo,50 Westmount Road North,50 chemin Westmount Nord,N2L 6J7,ON,43.461280,-80.537704,25,"Region of Waterloo, Public Health",Bureau de santé publique de la région de Waterloo,855-414-2255,,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,,,,Yes,No,No,,Yes,,,,Yes,,,,Yes,,6m,,No,No,,Yes,,Yes,Call ahead to arrange an appointment.,
,155,Windsor Regional Hospital - St Clair Campus Assessment Centre,Hôpital régional de Windsor - Campus St Clair,Windsor Regional Hopsital,Hôpital régional de Windsor,Windsor,2000 Talbot Road West,2000 chemin Talbot Ouest,N9A 6S4,ON,42.316262,-83.038338,,Windsor-Essex County Health Unit,Bureau de santé du comtè de Windsor-Essex,519-254-5577 ext. 59000,https://www.wrh.on.ca/OnlineBooking,09:00-16:00,09:00-16:00,,,,,,,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,Located adjacent to established WRH Field Hospital,
No,156,Mackenzie Health - Vaughan,Mackenzie Health - Vaughan,Mackenzie Health,Mackenzie Health,Maple,"9401 Jane Street, Unit 101",,L6A 4H7,ON,43.835792,-79.531739,,York Region Public Health Services,,905-883-1212 ext. 2004,,,11:30-18:30,,11:30-18:30,,,,,Yes,No,No,,,,,,Yes,,,,Yes,,,,,,,,,,,
Yes,157,Temagami Medical Centre and Family Health Team,,Temagami Medical Centre and Family Health Team,,Temagami,17 O'Connor Drive,,P0H 2H0,ON,47.062830,-79.787304,,Timiskaming Health Unit,,705-569-3244,,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,,,,Yes,No,Yes,,,,,,Yes,,,,Yes,,,,,,,,,,"Drive through testing is available, by appointment only. Pre-screening is required.",
,158,St. Michael's Catholic Church,St. Michael's Catholic Church,Arnprior Regional Health,Arnprior Regional Health,Douglas,5390 Highway 60,,K0J 1S0,ON,45.515474,-76.946671,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,844-727-6404,https://rcvtac.ca/,,,14:00-16:00,,,,,,Yes,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,
Yes,159,Bracebridge Assessment Centre,,Muskoka Algonquin Healthcare,,Bracebridge,75 Ann Street,,P1L 2E4,ON,45.047677,-79.314766,,Simcoe Muskoka District Health Unit,,888-383-7009,https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No,No,,,,,,Yes,,,,Yes,,,,,,,,,,The assessment centre is located adjacent to the helipad at the back of the South Muskoka Memorial Hospital property. It is not inside the hospital.,
