ï»¿active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,additional_information,additional_information_fr,age_threshold,asl_interpretation,email,first_nations,free_parking,french_language_services,general_population,holiday_hours,paid_parking,pharmacy,public_transit,symptomatic,temporarily_closed,weeks_pregnant
Yes,75,Anson General Hospital site,Site de l'HÃ´pital gÃ©nÃ©ral Anson,MICs Group - Anson General Hospital site,MICs Group - Site de l'HÃ´pital gÃ©nÃ©ral Anson,Iroquois Falls,58 Anson Drive,58 chemin Anson,P0K 1E0,ON,48.769108,-80.685429,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,09:00-13:00,,09:00-13:00,,,,Yes,Yes,No,No,,,"Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,,,,,,,,,,,,Yes,,
Yes,76,The Lady Minto Hospital/Boy Scout Hall,HÃ´pital Lady Minto/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,MICs Group - HÃ´pital Lady Mintol/Boy Scout Hall,Cochrane ,438 11th Avenue,428 11e avenue,P0L 1C0,ON,49.071067,-81.017287,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,9:00 -13:00,,9:00 -13:00,,,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,Yes,,
Yes,77,Nipigon District Memorial Hospital,HÃ´pital Memorial du district de Nipigon,Nipigon District Memorial Hospital,HÃ´pital Memorial du district de Nipigon,Nipigon,125 Hogan Road,125 chemin Hogan,P0T 2J0,ON,49.015611,-88.275905,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,807-887-5645,http://www.ndfht.ca,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,9:00-11:00,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,Yes,,
Yes,78,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay,50 College Drive,50 chemin College,P1B 5A4,ON,46.334984,-79.494710,North,Nord,21,North Bay Parry Sound District Health Unit,Bureau de santÃ© du district de North Bay-Parry Sound,705-474-8600 ext. 4110,,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,Yes,Yes,No,No,,Yes,"There is a separate entrance for COVID-19 testing. Individuals presenting for testing are requested to don a new face mask (provided by the testing centre) requested to clean hands, be seated and remain seated until called into the centre for testing. ",,0m,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,79,North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),Marathon,26 Peninsula Road,26 chemin Peninsula,P0T 2E0,ON,48.718573,-86.375400,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,888-294-6630,https://www.tbdhu.com/coronavirus,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,,,Yes,Yes,No,Yes,,Yes,Use main entrance.,,0m,No,,Biigtigong ,Yes,Yes,Yes,,,,Yes,Yes,,
Yes,80,North Shore Health Network - Blind River,North Shore Health Network - Blind River,North Shore Health Network - Blind River,North Shore Health Network - Blind River,Blind River,525 Causley Street,525 rue Causley,P0R 1B0,ON,46.187422,-82.924052,North,Nord,20,Algoma Public Health Unit,Bureau de santÃ© publique d'Algoma,705-356-2265 ext. 2661,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,Yes,Yes,No,Yes,,Yes,"Located in the trailer beside the Emergency Department. Specific directions and instructions are provided by email or over the phone.





Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,8y,No,,,Yes,Yes,,,,,No,Yes,,
Yes,81,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,Thessalon,135 Dawson Drive,135 chemin Dawson,P0R 1L0,ON,46.263058,-83.562473,North,Nord,20,Algoma Public Health Unit,Bureau de santÃ© publique d'Algoma,705-356-2265 ext. 2662,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,Yes,Yes,No,No,,Yes,"Located in the trailer beside the Emergency Department.



Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,8y,No,,,Yes,Yes,,,,,No,Yes,,
Yes,82,Rainy River Health Centre ,Rainy River Health Centre ,Riverside Health Care,Riverside Health Care,Rainy River,207 Victoria Avenue,207 avenue Victoria,P9A 2B7,ON,48.607083,-93.393020,North,Nord,16,Northwestern Health Unit,Bureau de santÃ© publique du Nord-Ouest,807-274-3261 ext. 4913,https://www.riversidehealthcare.ca/,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,Yes,Yes,No,Yes,,Yes,"Located across the street from the hospital.Individuals receive directions and instructions upon calling to book an appointment.  

Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,83,Red Lake Guardian Pharmacy,Red Lake Guardian Pharmacy,Red Lake Hospital,Red Lake Hospital,Red Lake,51G Hwy 105,51G Hwy 105,P0V 2M0,ON,51.013295,-93.822435,North,Nord,16,Northwestern Health Unit,Bureau de santÃ© publique du Nord-Ouest,807-727-7035,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,,,Yes,No,Yes,,Yes,"Located across the street from the hospital, at the downstairs entrance.","SituÃ© en face de lâ€™hÃ´pital, Ã  lâ€™entrÃ©e de lâ€™Ã©tage infÃ©rieur.",0m,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,84,SantÃ© Manitouwadge Health,SantÃ© Manitouwadge Health,SantÃ© Manitouwadge Health,SantÃ© Manitouwadge Health,Manitouwadge,1 Health Care Crescent,1 Healthcare Crescent,P0T 2C0,ON,49.127701,-85.824681,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,807-826-3251 ext. 221,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,Yes,Yes,No,Yes,,Yes,Entrance is through the ambulance bay at the back of the hospital.,Lâ€™entrÃ©e se fait par le stationnement pour les ambulances Ã  lâ€™arriÃ¨re de lâ€™hÃ´pital.,0m,No,,,No,Yes,,,No,,Yes,Yes,,
Yes,85,Sault Area Hospital / Kal Tire,HÃ´pital de Sault-Sainte-Marie / Kal Tire,Sault Area Hospital,HÃ´pital de Sault-Sainte-Marie,Sault Ste. Marie,165 Drive In Road,165 chemin Drive In,P6B 5X5,ON,46.547984,-84.321432,North,Nord,20,Algoma Public Health Unit,Bureau de santÃ© publique d'Algoma,705-759-3434 ext. 7152,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,,Yes,No,Yes,No,Yes,"Located 1 km away from Sault Area Hospital. Second building on the right after turning onto Drive In Road.



 For in-car testing, park in the designated space and honk to notify staff of arrival.



Please call to schedule an appointment. No walk-ins at the Emergency Department please.",,2y,Yes,,,Yes,Yes,,,,,Yes,Yes,,
Yes,86,Sensenbrenner Hospital / Le Centre des Loisirs,HÃ´pital Sensenbrenner / Le Centre des Loisirs,Sensenbrenner Hospital,HÃ´pital Sensenbrenner,Kapuskasing,7 Aurora Avenue,7 avenue Aurora,P5N 1J6,ON,49.419325,-82.429848,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-367-4613,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,8:30-12:00,8:30-12:00,8:30-12:00,8:30-12:00,,,Yes,Yes,No,No,,Yes,"Please call 705-367-4613 to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.





Asymptomatic testing occurs on Thursday.",,0m,No,,,Yes,Yes,,,,,No,Yes,,
Yes,87,Meno Ya Win Health Centre,Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,Sioux Lookout,1 Meno Ya Win Way,1 chemin Meno Ya Win,P8T 1B4,ON,50.106023,-91.927950,North,Nord,16,Northwestern Health Unit,Bureau de santÃ© publique du Nord-Ouest,807-737-5880,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,,Yes,No,Yes,,Yes,"Located in the front parking lot of the hospital. 



Please call to schedule an appointment. No walk-ins at the Emergency Department please.



Located in the front parking lot of the hospital. A nurse will come outside to provide instructions. Stay in your car at all times.",,0m,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,88,Smooth Rock Falls Hospital,HÃ´pital de Smooth Rock Falls,Smooth Rock Falls Hospital,HÃ´pital de Smooth Rock Falls,Smooth Rock Falls,107 Kelly Road,107 chemin Kelly,P0L 2B0,ON,49.272619,-81.610334,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-338-2781,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,9:00-11:00,,9:00-11:00,,,,Yes,Yes,No,Yes,,Yes,Located in the garage attached to the hospital. A nurse will come outside to do the swab. Stay in your car at all times.,SituÃ© dans le garage annexÃ© Ã  lâ€™hÃ´pital. Une infirmiÃ¨re viendra Ã  lâ€™extÃ©rieur prÃ©lever lâ€™Ã©couvillon. Les patients doivent rester en tout temps dans leur vÃ©hicule pour subir le test.,2y,No,,,Yes,Yes,Yes,,,,Yes,Yes,,
Yes,89,Superior North EMS Community Paramedicine Program,Superior North EMS Community Paramedicine Program,Superior North EMS,Superior North EMS,Thunder Bay,1408 Brown Street,,P7B 2M6,ON,48.365919,-89.281230,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,807-625-5900,https://www.tbdhu.com/coronavirus,7:00-19:00,7:00-19:00,7:00-19:00,7:00-19:00,7:00-19:00,7:00-19:00,7:00-19:00,,Yes,No,Yes,,Yes,Mobile clinics and home visits. No in-centre testing. Drive through testing for surge capacity only.,,0m,,,,No,,,,No,,No,Yes,,
Yes,90,Temiskaming Hospital,HÃ´pital Temiskaming,Temiskaming Hospital,HÃ´pital Temiskaming,Temiskaming Shores,421 Shepherdson Road,421 chemin Shepherdson,P0J 1P0,ON,47.495213,-79.693163,North,Nord,1,Timiskaming Health Unit,Bureau de santÃ© de Timiskaming,705-648-1844,,9:00-12:00&13:00-16:00,9:00-12:00&13:00-16:00,9:00-12:00&13:00-16:00,9:00-12:00&13:00-16:00,9:00-12:00&13:00-16:00,,10:00-12:00,Yes,Yes,No,Yes,,Yes,"Located at the north entrance (back of the hospital). Do not use the front entrance. For after hours, call hospital in advance for instructions. No walk-ins at emergency department.",SituÃ© Ã  lâ€™entrÃ©e nord (Ã  lâ€™arriÃ¨re de lâ€™hÃ´pital). Les patients ne doivent pas utiliser lâ€™entrÃ©e avant.,2y,No,,,Yes,Yes,Yes,,,,Yes,Yes,,
Yes,91,Thunder Bay Assessment Centre,Centre d'Ã©valuation de Thunder Bay,Thunder Bay Regional Health Sciences Centre ,Centre rÃ©gional des sciences de la santÃ© de Thunder Bay,Thunder Bay,980 Oliver Road,980 chemin Oliver,P7B 6V4,ON,48.424784,-89.269319,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,807-935-8100,https://www.tbdhu.com/coronavirus,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,Yes,Yes,No,Yes,,Yes,Located outside the emergency department entrance. Check in with the nurse at the ambulance outside of the emergency department. ,,13y,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,92,Timmins COVID-19 Assessment Centre,Centre d'Ã©valuation de Timmins,Timmins and District Hospital,HÃ´pital de Timmins et du district,Timmins,651 Ross Avenue East,651 avenue Ross Est,P4N 8P2,ON,48.486008,-81.315668,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-267-0224,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,8:30-16:00,8:30-16:00,8:30-16:00,8:30-16:00,8:30-16:00,8:30-15:15,8:30-15:15,Yes,Yes,No,No ,,," Not a walk-in clinic: Patients to call 705-267-0224 for an appointment. Do not present to TADH Emergency Department.





For after hours, please call hospital in advance for instructions. No walk-ins at ED please. 


Office closed from 12-1:15pm daily. 


Open Sunday as needed.",,,,,,,,,,,,,Yes,,
Yes,93,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Moose Factory,19 Hospital Drive,19 chemin Hospital,P0L 1W0,ON,51.250270,-80.616541,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-658-4220,https://www.waha.ca/covid-19/,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,,,Yes,Yes,No,Yes,,Yes,"Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.





Separate entrance",,2y,No,,Moose Cree First Nations,Yes,No,Yes,,,,No,Yes,,
Yes,94,Fort Albany Hospital,Fort Albany Hospital,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Fort Albany,5 Airport Road,5 chemin Airport,P0L 1H0,ON,52.206719,-81.684853,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,13:00-16:00,13:00-16:00,13:00-16:00,13:00-16:00,,,,Yes,Yes,No,No ,,,,,,,,,,,,,,,,Yes,,
Yes,95,Attawapiskat Hospital,Attawapiskat Hospital,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Attawapiskat,972 Riverside East,972 Riverside Est,P0L 1A0,ON,52.922613,-82.425772,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,Yes,Yes,No,No ,,,,,,,,,,,,,,,,Yes,,
Yes,96,Moosonee Health Centre,Moosonee Health Centre,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Moosonee ,5 Percy's Way,5 chemin Percy's,P0L 1Y0,ON,51.271219,-80.650860,North,Nord,17,Porcupine Health Unit,.,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,Yes,Yes,No,No ,,,,,,,,,,,,,,,,Yes,,
Yes,97,Kashechewan Health Services,Kashechewan Health Services,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Kashechewan,,,P0L 1S0,ON,0.000000,0.000000,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,Yes,Yes,No,No ,,,,,,,,,,,,,,,,Yes,,
Yes,98,Peawanuck Nursing Station,Peawanuck Nursing Station,Weeneebayko Area Health Authority,Weeneebayko Area Health Authority,Peawanuck ,,,P0L 2H0,ON,0.000000,0.000000,North,Nord,17,Porcupine Health Unit,Bureau de santÃ© publique de Porcupine,705-336-2294 ext. 326,https://www.waha.ca/covid-19/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,Yes,Yes,No,No ,,,,,,,,,,,,,,,,Yes,,
Yes,99,West Nipissing General Hospital,HÃ´pital gÃ©nÃ©ral de Nipissing Ouest,West Nipissing General Hospital,HÃ´pital gÃ©nÃ©ral de Nipissing Ouest,Sturgeon Falls,219 O'Hara Street,219 rue O'Hara,P2B 2Y6,ON,46.367086,-79.917254,North,Nord,21,North Bay Parry Sound District Health Unit,Bureau de santÃ© du district de North Bay-Parry Sound,705-580-2186,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,12:00-16:00,12:00-16:00,,12:00-16:00,12:00-16:00,,,Yes,Yes,No,No ,,,Located at Marcel Noel Hall - West Nipissing Complex.,SituÃ© Ã  la Salle communautaire Marcel NoÃ«l â€” complexe Nipissing Ouest.,,,,,,,,,,,,Yes,,
Yes,100,West Parry Sound Health Centre,West Parry Sound Health Centre,West Parry Sound Health Centre,West Parry Sound Health Centre,Parry Sound,"70 Joseph Street, Unit 105 & 106",70 rue Joseph,P2A 2G5,ON,45.359370,-80.042996,North,Nord,21,North Bay Parry Sound District Health Unit,Bureau de santÃ© du district de North Bay-Parry Sound,705-746-4540 ext. 5030,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,No,,Yes,"Located at the Parry Sound Mall, Unit 105 and 106. All patients must call for an appointment.  Please arrive at the back of the building and ring the door bell.  You may return to your car or step back 2 meters from the door and await a staff member to bring you in.","SituÃ© dans le centre commercial de Parry Sound, locaux 105 et 106.",6m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,101,"North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ",Terrace Bay,20B Cartier Road,20B rue Cartier,P0T 2W0,ON,48.780226,-87.106507,North,Nord,19,Thunder Bay District Health Unit,Bureau de santÃ© du district de Thunder Bay,807-825-3235,,10:00-12:00,10:00-12:00,10:00-12:00,10:00-12:00,,,,Yes,Yes,No,Yes,,Yes,,,0m,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,102,Humber River Hospital Assessment Centre - Finch,Centre d'Ã©valuation de l'HÃ´pital Humber River,Humber River Hospital,HÃ´pital Humber River,Toronto,2111 Finch Avenue West,2111 avenue Finch Ouest,M3N 1N1,ON,43.754813,-79.525921,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-747-5474,https://www.hrh.ca/covid-19/,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,8:00-16:00,8:00-16:00,,Yes,No,No,,Yes,"Use the west entrance only. Please see the information on the Humber River Hospital website for booking appointments online, or call (416) 747-5474 for general inquiries, information about booking an appointment or accessing your test results.",,6m,No,,,Yes,No,,,,,Yes,Yes,,
,103,Michael Garron Hospital - Emergency Department,Michael Garron Hospital - Emergency Department,Michael Garron Hospital,HÃ´pital Michael Garron,Toronto,825 Coxwell Avenue,825 avenue Coxwell,M4C 3E7,ON,43.689910,-79.324858,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Yes,No,,Yes,Located in the Emergency Department off of Mortimer Avenue.,,0m,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,
Yes,104,Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital - Outpatient Clinic,Michael Garron Hospital,HÃ´pital Michael Garron,Toronto,825 Coxwell Avenue,825 avenue Coxwell,M4C 3E7,ON,43.689910,-79.324858,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre,8:00-19:30,8:00-19:30,8:00-19:30,8:00-19:30,8:00-19:30,8:00-19:30,8:00-19:30,,Yes,No ,No ,,Yes,"Located in the D-wing on the 1st floor of the hospital (directly off of Mortimer Avenue, west of the Emergency Department). Please see the information on the Michael Garron Hospital website for booking appointments.",,0m,No,,,,No,,,Yes,,Yes,Yes,,
Yes,105,Michael Garron Hospital (MGH) temporary testing site: Taylor Massey (Crescent Town),Market Place Temporary Assessment Centre,Michael Garron Hospital,HÃ´pital Michael Garron,Toronto,4 The Market Place,4 The Market Place,M4C 5M1,ON,43.695869,-79.292138,Toronto,Toronto,5,York Region Public Health Services,Bureau de santÃ© publique de la rÃ©gion de York,416-469-6858,https://www.tehn.ca/programs-services/covid-19-assessment-centre/temporary-covid-19-testing-sites-east-toronto,12:00-17:30,12:00-17:30,12:00-17:30,12:00-17:30,12:00-17:30,12:00-17:30,12:00-17:30,,No,,,,,,,,,,,,,,,,,,Yes,,
Yes,106,Mount Sinai Hospital,HÃ´pital Mount Sinai,Mount Sinai Hospital,HÃ´pital Mount Sinai,Toronto,600 University Avenue,600 avenue University,M5G 1X5,ON,43.657575,-79.390096,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-586-4800 ext. 4924 or 416-586-4800 ext. 4893,https://www.sinaihealth.ca/covid19/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,,Yes,Yes,No,,Yes,"Located on the ground floor in the Henneck Gallery, close to the Emergency Department. Please see the information on Mount Sinai's website for booking appointments.",,0m,No,,,,No,,,Yes,,Yes,Yes,,
Yes,107,North York General Hospital - Branson,HÃ´pital gÃ©nÃ©ral de North York - Branson,North York General Hospital - Branson,HÃ´pital gÃ©nÃ©ral de North York - Branson,Toronto,555 Finch Avenue West,555 avenue Finch Ouest,M2R 1N5,ON,43.772477,-79.448125,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-756-6000,https://nygh.on.ca/covid-19-updates,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,,Yes,No ,No,,Yes,Please see the information on North York General Hospitalâ€™s website for booking appointments online. Or call 416-635-2509 from 8 a.m. to 4 p.m. to book your appointment over the phone.,,0m,Yes,,,,Yes,,,Yes,,Yes,Yes,,
,108,North York General Hospital - Emergency Department,HÃ´pital gÃ©nÃ©ral de North York - DÃ©partement d'urgence,North York General Hospital,HÃ´pital gÃ©nÃ©ral de North York,Toronto,4001 Leslie Street (Ambulance Bay),4001 rue Leslie (baie d'ambulance),M2K 1E1,ON,43.769147,-79.362744,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,,,,,,,,,,,Yes,Yes,No,,Yes,Located next to the Emergency Department in the converted Ambulance Bay.,,0m,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,
Yes,109,Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,Scarborough Health Network - Birchmount,Scarborough,3030 Birchmount Road,3030 chemin Birchmount,M1W 3W3,ON,43.801819,-79.309055,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-495-2601 ,https://www.shn.ca/covid19-assess/,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,,Yes,No,No,,Yes,Please see the information on the Scarborough Health Network website for booking appointments.,,6m,Yes,,,Yes,Yes,,,,,Yes,Yes,,
Yes,110,Scarborough Health Network Centenary Site,Scarborough Health Network Centenary Site,Scarborough Health Network - Centenary ,Scarborough Health Network - Centenary Site,Scarborough,2867 Ellesmere Road,2867 chemin Ellesmere,M1E 4B9,ON,43.780444,-79.204560,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-495-2601 ,https://www.shn.ca/covid19-assess/,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,,Yes,No,No,,Yes,Centre is next to the Emergency Department. Please see the information on the Scarborough Health Network website for booking appointments.,,6m,Yes,,,Yes,Yes,,,,,Yes,Yes,,
Yes,111,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Toronto,2075 Bayview Avenue,2075 avenue Bayview,M4N 3M5,ON,43.721782,-79.376026,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,,Yes,No,No,Yes,No,"Use the U-Wing entrance only. The assessment centre can be accessed by the south driveway of Sunnybrook, past the Emergency department and located at U Wing. Please see the information on Sunnybrookâ€™s website for booking appointments.",,1y,No,,,,No,,,Yes,,Yes,Yes,,
Yes,112,Toronto Western Hospital ,HÃ´pital Toronto Western ,University Health Network,University Health Network,Toronto,347 Bathurst Street,337 rue Bathurst,M5T 2S7,ON,43.652594,-79.405856,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,,https://www.uhn.ca/Covid19,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,12:00-20:00,,Yes,No,No,,Yes,"Located in the building on the north-east corner of Bathurst Street and Dundas Street.





By appointment only. Please see the information on the UHN website for booking appointments.",,1y,Yes,,,No,Yes,,,Yes,,Yes,Yes,,
Yes,113,St. Joseph's Health Centre,,Unity Health Toronto,Unity Health Toronto,Toronto,30 The Queensway,30 The Queensway,M6R 1B5,ON,43.640709,-79.450139,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-530-6720 ,https://unityhealth.to/assessment-centres/,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,,Yes,No,No,,Yes,"Located on the main floor of the Sunnyside Building (use east entrance off of Sunnyside Avenue).

Appointments only. Bookings open 48 hours in advance and are released at 7 p.m. each day. Individuals who do not have phone or internet access may book a future appointment when they arrive at the Assessment Centres.",,1y,No,,,Yes,No,,,,,Yes,Yes,,
Yes,114,St. Michael's Hospital,,Unity Health Toronto,Unity Health Toronto,Toronto,38 Shuter Street,,M5B 1A6,ON,43.654829,-79.378003,Toronto,Toronto,22,Toronto Public Health,Bureau de santÃ© de Toronto,416-864-5800,https://unityhealth.to/assessment-centres/,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,No,Yes,Yes,"Located in the Li Ka Shing Knowledge Institute. Enter at the Shuter Street entrance near Bond Street (north-east corner of the building).


Appointments only. Bookings open 48 hours in advance and are released at 7 p.m. each day. Individuals who do not have phone or internet access may book a future appointment when they arrive at the Assessment Centres.",,6m,No,,,,No,,10:00-18:00,Yes,,Yes,Yes,,
