active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
,42,Cobden Arena,Cobden Arena,Arnprior Regional Health,Arnprior Regional Health,Cobden,43 Astrolabe Road,43 rue Astrolabe,K0J 1K0,ON,45.623129,-76.879507,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,9:00-11:00,,,,9:00-11:00,,Yes,Yes,Yes,,Yes,,,2y,No,No,,No,We do not have a physical site for testing - we do it through drive through testing sites or we go on site in various locations to do testing (ie retirement homes) as needed.  To date our approach to testing has proven to be very efficient and effective.,,,,,,,,Yes
,43,Civic Centre,Civic Centre,Arnprior Regional Health,Arnprior Regional Health,Petawawa,16 Civic Centre Road,16 rue Civic Centre,K8H 3H5,ON,45.894435,-77.259937,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,,,9:00-11:00,,Yes,,,,,,,,,,,,,,,,,,,,Yes
Yes,44,Pembroke Assessment Centre,Pembroke Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Pembroke,7 International Drive,7 allée International,K8A 6W5,ON,45.800448,-77.116602,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,9:00-11:00,,,,Yes,,,,,,,,,,,,,,,,,,,,
Yes,45,Deep River Arena,Deep River Arena,Arnprior Regional Health,Arnprior Regional Health,Deep River,2 Club House Road,2 rue Club House,K0J 1P0,ON,46.095052,-77.485164,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,,,9:00-11:00,,Yes,,,,,,,,,,,,No restrictions. Two areas of focus - patients without a family physiciann or cannot reach their family physician and those with potential COVID.,,,,,,,,
Yes,46,Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Arnprior,153 McLean Avenue,153 McLean Avenue,K75 3TI,ON,45.425570,-76.356357,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,9:00-11:00,,,,,Yes,,,,,,,,,,,,The hours for this center vary. Please visit the centre's website for current hours. ,,,,,,,,
Yes,47,Eganville Community Arena,Eganville Community Arena,Arnprior Regional Health,Arnprior Regional Health,Eganville,178 Jane Street,178 rue Jane,K0J 1T0,ON,45.541852,-77.105656,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,,,14:00-16:00,,Yes,,,,,,,,,,,,,,,,,,,,
Yes,48,Ma-te-way Park,Ma-te-way Park,Arnprior Regional Health,Arnprior Regional Health,Renfrew,1 Ma Te Way Park Drive,1 allée Ma Te Way Park,K7V 2T5,ON,45.465465,-76.694201,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,14:00-16:00,,,,,Yes,,,,,,,,,,,,,,,,,,,,
,49,Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Barry's Bay,65 Arena Road,65 rue Arena,K0J 1B0,ON,45.486426,-77.668443,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,,,14:00-16:00 ,,Yes,,,,,,,,,,,,,,,,,,,,Yes
Yes,50,RMH COVID-19 Assessment Centre,RMH COVID-19 Assessment Centre,Ross Memorial Hospital,Hôpital Ross Memorial,Lindsay,10 Angeline Street North,10 rue Angeline Nord,K9V 4M8,ON,44.352402,-78.751362,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,705-328-6217,https://www.rmh.org/covid-19,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,,No,Yes,Yes,,Yes,,,12y,No,No,Yes,Yes,"Use the Kent Street entrance. For children under 12, use the Emergency Department.",,,,,,,,
Yes,51,Trent Hills COVID19 Assessment Centre,Centre d'èvaluation de la COVID-19 de Trent Hills,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,Campbellford,179 Saskatoon Avenue,179 avenue Saskatoon,K0L 1L0,ON,44.302770,-77.799495,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,705-395-1801,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,,,6m,No,No,,No,Single entrance in stand-alone building. Clients must wait in their cars until staff come out to provide a registration form and check ID. Clients must wear masks and come alone if possible. ,,,Yes,,,,,
Yes,52,Winchester COVID-19 Assessment Centre,Winchester - Centre d’évaluation pour la COVID-19,Lions Club Hall,Salle du Club Lions,Winchester,515 Albert Street,515 rue Albert,K0C 2K0,ON,45.092745,-75.350378,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120 ,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,,,,,,,,,,,,,,,,,,,,,
Yes,53,Kinsmen Civic Centre,Kinsmen Civic Centre,Peterborough Public Health,Bureau de santé du Peterborough,Peterborough,1 Kinsmen Way,1 chemin Kinsmen,K9J 5Y6,ON,44.293856,-78.342428,East,Est,15,Peterborough Public Health,Bureau de santé du Peterborough,705-743-1000,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,,No,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Yes,54,COVID-19 Assessment Centre at PRHC,COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,Peterborough Regional Health Centre,Peterborough,1 Hospital Drive,1 chemin Hospital,K9J 7C6,ON,44.300025,-78.347609,East,Est,15,Peterborough Public Health,Bureau de santé du Peterborough,705-876-5086,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,Yes,No,No,,No,8:00-16:00,8:00-16:00,1y,No,No,,Yes,Located in the mobile unit on the west side of the hospital. ,Situé dans l'unité mobile du côté ouest de l’hôpital.,,Yes,,,,,
Yes,55,Northumberland Hills Hospital ,Hôpital du Northumberland Hills,Northumberland Hills Hospital ,Hôpital du Northumberland Hills,Cobourg,1000 Depalma Drive,1000 chemin Depalma,K9A 5W6,ON,43.976426,-78.202208,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,905-377-7783,,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,Yes,Yes,No,Yes,Yes,8:00-16:00,8:00-16:00,1y,Yes,Yes,Yes,Yes,Covid Clinic and ER share the same entrance. Covid clinic patients exit through a separate door. Patients are asked to wear a mask during their visit and are given a HKPR Public Health information sheet before they leave. All under that age of 12 are seen in ER for assessment and swabbing. The clinic will look up and report negative results to patients that are unable to retrieve results on their own.,,,,,,Closed ,,
Yes,56,Atikokan Family Health Team,Équipe santé familiale d'Atikokan,Atikokan Family Health Team,Équipe santé familiale d'Atikokan,Atikokan,101 Zuke Road,101 chemin Zuke,P0T 1C0,ON,48.753128,-91.600594,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,807-597-8781 ext 0,https://atikokanfht.com/,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,Yes,Yes,No,Yes,,Yes,,,0m,No,No,,Yes,Located at the side entrance under the canopy. Stay in your car.  You will be directed into the accessible building if you need an in-person assessment. ,,,Yes,,,,,
Yes,57,Hearst COVID-19 Assessment Centre,Centre d'èvaluation de la COVID-19 d'Hearst,Nord-Aski Family Health Team,Équipe santé fmailiale de Nord-Aski,Hearst,1403 Edward Street,1403 rue Edward,P0L 1N0,ON,49.686590,-83.678543,North,Nord,17,Porcupine Health Unit,Bureau de santé publique de Porcupine,705-362-5544,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,9:00-12:00,,9:00-12:00,,Yes,Yes,No,Yes,,Yes,,,2y,Yes,No,,Yes,Located on the east side of the medical clinic in the parking lot. Call the assessment centre for an appointment if you do not have symptoms. Call your local public health unit or family doctor if you have symptoms.,,,Yes,,,,,
Yes,58,Chapleau Health Services,Services de santé de Chapleau,Chapleau Family Health Team,Services de santé de Chapleaus,Chapleau,2 Broomhead Road,6 chemin Broomhead,P0M 1K0,ON,47.841198,-83.414963,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-864-2568,https://www.sschs.ca/general/home.html,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,9:00-13:00,Yes,Yes,No,Yes,,Yes,,,0m,Yes,No,,Yes,Directions are provided during appointment booking.,,,Yes,,,,,
Yes,59,NEOMO Medical,NEOMO Medical,NEOMO Medical,NEOMO Medical,Sudbury,885 Prete Street,885 rue Prete,P3E 3X9,ON,46.473037,-81.006321,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,Yes,,Yes,8:00-16:00,8:00-16:00,0m,Yes,No,,No,Book your appointment online. Directions are provided during appointment booking. ,,,Yes,,,,,
Yes,60,Primacy Medical Centre,Primacy Medical Centre,Primacy Medical Centre,Primacy Medical Centre,Sudbury,1485 Lasalle Boulevard,1485 boulevard Lasalle ,P3A 1Z8,ON,46.521729,-80.939584,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,Yes,Yes,No,Yes,,Yes,11:00-19:00,11:00-19:00,6m,Yes,No,,Yes,"Located in the parking lot of the Superstore, beside the pharmacy. ",Situé dans le stationnement du Superstore. ,,Yes,,,,,
Yes,61,Health Sciences North - HSNRI Assessment Centre,Horizon Santé-Nord - HSNRI Assessment Centre,Health Sciences North,Horizon Santé-Nord,Sudbury,56 Walford Road,56 chemin Walford,P3E 5J1,ON,46.464346,-81.002008,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-671-7373,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,Yes,Yes,No,Yes,,Yes,9:00-17:00,9:00-17:00,2y,Yes,,,,,,,Yes,,,,,
Yes,62,Dingwall Medical Clinic Building ,Dingwall Medical Clinic Building ,Dingwall Medical Clinic Building ,Dingwall Medical Clinic Building ,Dryden ,40 Goodall Street,40 rue Goodall,P8N 2Z6,ON,49.769556,-92.840763,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-223-3737,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,8:00-12:00&12:30-16:00,8:00-12:00&12:30-16:00,8:00-12:00&12:30-16:00,8:00-12:00&12:30-16:00,8:00-12:00&12:30-16:00,Yes,Yes,No,No,,Yes,,,6m,No,No,Yes,No,Instructions provided when you book your appointment. Use first exterior entrance on the left (old Hearing Centre). Entrance is marked with fluorescent yellow sign.,La première entrée extérieure à gauche (ancien centre d’audiologie).,,,,,,assess@drhc.on.ca.,
Yes,63,Elliot Lake Family Health Team,Quipe santé familiale d'Elliot Lake,Elliot Lake Family Health Team,Quipe santé familiale d'Elliot Lake,Elliot Lake,31 Nova Scotia Walk,31 Nova Scotia Walk,P5A 1Y9,ON,46.385840,-82.649431,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-461-8882,http://www.elfht.com/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Yes,64,Englehart District Hospital,Englehart District Hospital,Englehart District Hospital,Englehart District Hospital,Englehart,63 Fifth Street,63 5e rue,P0J 1H0,ON,47.822706,-79.879251,North,Nord,1,Timiskaming Health Unit,Services de santé du Timiskaming,705-568-2127,http://www.timiskaminghu.com/90484/covid-19,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,9:00-13:00,Yes,Yes,No,Yes,,Yes,,,,,,,,Drive-through at the rear entrance of the building.,Service à l’auto à l’entrée arrière du bâtiment.,,,,,,,
Yes,65,Espanola & Area COVID Mobile Assessment Centre,Centre d'èvaluation de la COVID-19 d'Espanola et région,Espanola Regional Hospital and Health Centre  ,Espanola Regional Hospital and Health Centre,Espanola,825 McKinnon Drive,825 chemin McKinnone,P5E 1R4,ON,46.248923,-81.780886,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-869-1420 ext. 4500,http://www.espanolaregionalhospital.ca/covid-19,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,Yes,,Yes,,,0m,Yes,No,,No,Drive-through only.,,,Yes,,,,,
Yes,66,Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Hôpital du district de Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Geraldton District Hospital,Hôpital du district de Geraldton District Hospital,Geraldton,510 Hogarth Avenue,510 avenue Hogarth,P0T 1M0,ON,49.723382,-86.956970,North,Nord,19,Thunder Bay District Health Unit,Bureau de santé du district de Thunder Bay,807-854-0224,http://www.geraldtondh.com/hospital-triage-area---covid-19,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,Yes,,Yes,,,,,,,,Wait in your car in the designated parking spot.,Les patients doivent attendre dans leur véhicule à l’endroit désigné dans le stationnement.,,,,,,,
Yes,67,Hornepayne Community Hospital,Hôpital communautaire de Hornepayne,Hornepayne Community Hospital,Hôpital communautaire de Hornepayne,Hornepayne,278 Front Street,278 rue Front,P0M 1Z0,ON,49.212129,-84.774749,North,Nord,17,Porcupine Health Unit,Bureau de santé publique de Porcupine,807-868-2442,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,9:30-11:30&1:30-15:30,9:30-11:30&1:30-15:30,9:30-11:30&1:30-15:30,9:30-11:30&1:30-15:30,9:30-11:30&1:30-15:30,Yes,Yes,No,,,,,,,,,,,Located at the front entrance. Someone will meet you at the door.,Situé à l’entrée avant. Quelqu’un viendra vous chercher à la porte.,,,,,,,
Yes,68,Michipicoten Memorial Community Centre,Michipicoten Memorial Community Centre,Lady Dunn Health Centre,Lady Dunn Health Centre,Wawa,3 Chris Simon Drive,3 chemin Chris Simon,P0S 1K0,ON,47.987685,-84.780180,North,Nord,20,Algoma Public Health Unit,Bureau de santé publique d'Algoma,705-856-2244 ext. 244,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:30-16:30,8:30-16:30,8:30-16:30,8:30-16:30,8:30-16:30,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Yes,69,Lake of the Woods District Hospital,Hôpital du district du lac des Bois,Lake of the Woods District Hospital,Hôpital du district du lac des Bois,Kenora,21 Sylvan Street,21 rue Sylvan Ouest,P9N 3W7,ON,49.768091,-94.499429,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-468-9861 ext 2483,http://www.lwdh.on.ca/,8:00-16:00,8:00-12:00,8:00-12:00,8:00-12:00,8:00-12:00,Yes,Yes,No,Yes,,Yes,,,0m,No,No,,Yes,"Turn onto Nethercutt Drive, turn right onto Wolsley Avenue, and take your first left into the old ambulance garage parking lot (attached to the power plant and laundry facilities).","Tournez sur la promenade Nethercutt, tournez à droite sur l’avenue Wolsley, puis tournez à gauche dans le stationnement de l’ancien garage des ambulances (il est annexé à la centrale électrique et à la buanderie).",,,,,,,
Yes,70,Community Health Services Building,Community Health Services Building,LaVerendrye General Hospital and  Riverside Health Care ,LaVerendrye General Hospital and  Riverside Health Care ,Fort Frances,206 Victoria Avenue,206 avenue Victoria,P9A 2B7,ON,48.607046,-93.392275,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-274-3261 ext 4913,https://www.riversidehealthcare.ca/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,Yes,,Yes,As needed,As needed,,,,,,,,,,,,,,
Yes,71,Manitoulin Health Centre,Centre de santé de Manitoulin,Manitoulin Health Centre,Centre de santé de Manitoulin,Little Current,11 Meredith Street East,rue Meredith Est,P0P 1K0,ON,45.979114,-81.926769,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-368-2300,http://www.mhc.on.ca/covid-19,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,Yes,Yes,No,No,,Yes,13:00-17:00,13:00-17:00,2y,No,No,,No,In the parking lot of the emergency entrance.,,,Yes,,,,,
Yes,72,Manitoulin Health Centre,Centre de santé de Manitoulin,Manitoulin Health Centre,Centre de santé de Manitoulin,Mindemoya,2120B Hwy 551,2120B Hwy 551,P0P 1S0,ON,45.738205,-82.166694,North,Nord,18,Sudbury and District Health Unit,Bureau de santé publique de Sudbury et district,705-368-2300,http://www.mhc.on.ca/covid-19,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,13:00-17:00,Yes,Yes,No,No,,Yes,13:00-17:00,13:00-17:00,2y,No,No,,No,In the garage behind the emergency department. ,,,Yes,,,,,
Yes,73,Mattawa Hospital,Mattawa Hospital,Mattawa Hospital,Mattawa Hospital,Mattawa,217 Turcotte Park Road,217 chemin Turcotte,P0H 1V0,ON,46.311018,-78.713456,North,Nord,21,North Bay Parry Sound District Health Unit,Bureau de santé du district de North Bay-Parry Sound,705-744-5511 ext 0,https://www.mattawahealth.ca/News/mattawa-assessment-centre,8:00-12:00,,8:00-12:00,,8:00-12:00,,Yes,No,No,,Yes,,,0m,Yes,Yes,,Yes,There is a separate entrance.,,,Yes,,,,,
Yes,74,Anson General Hospital site,Site de l'Hôpital général Anson,MICs Group - Anson General Hospital site,MICs Group - Site de l'Hôpital général Anson,Iroquois Falls,58 Anson Drive,58 chemin Anson,P0K 1E0,ON,48.769108,-80.685429,North,Nord,17,Porcupine Health Unit,Bureau de santé publique de Porcupine,1-888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,9:00-13:00,,,9:00-15:10,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Yes,75,The Lady Minto Hospital/Boy Scout Hall,Hôpital Lady Minto/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,MICs Group - Hôpital Lady Mintol/Boy Scout Hall,Cochrane ,438 11th Avenue,428 11e avenue,P0L 1C0,ON,49.071067,-81.017287,North,Nord,17,Porcupine Health Unit,Bureau de santé publique de Porcupine,1-888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,,9:00-15:00,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Yes,76,Nipigon District Memorial Hospital,Hôpital Memorial du district de Nipigon,Nipigon District Memorial Hospital,Hôpital Memorial du district de Nipigon,Nipigon,125 Hogan Road,125 chemin Hogan,P0T 2J0,ON,49.015611,-88.275905,North,Nord,19,Thunder Bay District Health Unit,Bureau de santé du district de Thunder Bay,807-887-5252,https://www.tbdhu.com/coronavirus,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
Yes,77,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay Regional Health Centre,North Bay,50 College Drive,50 chemin College,P1B 5A4,ON,46.334984,-79.494710,North,Nord,21,North Bay Parry Sound District Health Unit,Bureau de santé du district de North Bay-Parry Sound,705-474-8600 ext 4110,,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,Yes,Yes,No,No,,Yes,9:00-17:00,9:00-17:00,0m,Yes,No,,Yes,"There is a separate entrance for COVID-19 testing. Individuals presenting for testing are requested to don a new face mask (provided by the testing centre) requested to clean hands, be seated and remain seated until called into the centre for testing. ",,,Yes,,,,,
Yes,78,North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),Marathon,26 Peninsula Road,26 chemin Peninsula,P0T 2E0,ON,48.718573,-86.375400,North,Nord,19,Thunder Bay District Health Unit,Bureau de santé du district de Thunder Bay,807-625-5900 or 1-888-294-6630,https://www.tbdhu.com/coronavirus,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,Yes,Yes,No,Yes,,Yes,,,0m,Yes,No,,Yes,Use main entrance.,,Biigtigong ,Yes,,Yes,,,
Yes,79,North Shore Health Network - Blind River,North Shore Health Network - Blind River,North Shore Health Network - Blind River,North Shore Health Network - Blind River,Blind River,525 Causley Street,525 rue Causley,P0R 1B0,ON,46.187422,-82.924052,North,Nord,20,Algoma Public Health Unit,Bureau de santé publique d'Algoma,705-356-2265 ext. 2661,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,Yes,Yes,No,Yes,,Yes,8:00-18:00,8:00-18:00,8y,Yes,No,,No,Located in the trailer beside the Emergency Department. Specific directions and instructions are provided by email or over the phone.,Situé dans la roulotte à côté du service des urgences.,,Yes,,,,,
Yes,80,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,Thessalon,135 Dawson Drive,135 chemin Dawson,P0R 1L0,ON,46.263058,-83.562473,North,Nord,20,Algoma Public Health Unit,Bureau de santé publique d'Algoma,705-356-2265 ext. 2662,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,Yes,Yes,No,Yes,,Yes,,,8y,Yes,No,,No,Specific directions and instructions are provided by email or over the phone.,,,Yes,,,,,
Yes,81,Rainy River Health Centre ,Rainy River Health Centre ,Riverside Health Care,Riverside Health Care,Rainy River,207 Victoria Avenue,207 avenue Victoria,P9A 2B7,ON,48.607083,-93.393020,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-274-3261 ext. 4913,https://www.riversidehealthcare.ca/,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,Yes,Yes,No,Yes,,Yes,13:00-15:00,13:00-15:00,0m,No,No,,Yes,Located across the street from the hospital. Individuals receive directions and instructions upon calling to book an appointment. ,Situé en face de l’hôpital.,,Yes,,,,,
Yes,82,Red Lake Guardian Pharmacy,Red Lake Guardian Pharmacy,Red Lake Hospital,Red Lake Hospital,Red Lake,51G Hwy 105,51G Hwy 105,P0V 2M0,ON,51.013295,-93.822435,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-727-7035,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,,Yes,No,Yes,,Yes,,,0m,Yes,No,,Yes,"Located across the street from the hospital, at the downstairs entrance.","Situé en face de l’hôpital, à l’entrée de l’étage inférieur.",,Yes,,,,,
Yes,83,Santé Manitouwadge Health,Santé Manitouwadge Health,Santé Manitouwadge Health,Santé Manitouwadge Health,Manitouwadge,1 Health Care Crescent,1 Healthcare Crescent,P0T 2C0,ON,49.127701,-85.824681,North,Nord,19,Thunder Bay District Health Unit,Bureau de santé du district de Thunder Bay,807-826-3251 ext 221,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,Yes,Yes,No,Yes,,Yes,8:00-19:00,8:00-19:00,0m,Yes,No,No,Yes,Entrance is through the ambulance bay at the back of the hospital.,L’entrée se fait par le stationnement pour les ambulances à l’arrière de l’hôpital.,,No,,,,,
Yes,84,Sault Area Hospital / Kal Tire,Hôpital de Sault-Sainte-Marie / Kal Tire,Sault Area Hospital,Hôpital de Sault-Sainte-Marie,Sault Ste. Marie,165 Drive In Road,165 chemin Drive In,P6B 5X5,ON,46.547984,-84.321432,North,Nord,20,Algoma Public Health Unit,Bureau de santé publique d'Algoma,705-759-3434 ext 7152,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,,Yes,No,Yes,,Yes,8:00-20:00,8:00-20:00,13y,Yes,Yes,,Yes,"Located 1 km away from Sault Area Hospital. Second building on the right after turning onto Drive In Road. For in-car testing, park in the designated space and honk to notify staff of arrival.",Situé à 1 km de l’Hôpital de Sault-Sainte-Marie. Deuxième bâtiment à droite après avoir tourné sur le chemin Drive In.,,Yes,,,,,
Yes,85,Sensenbrenner Hospital / Le Centre des Loisirs,Hôpital Sensenbrenner / Le Centre des Loisirs,Sensenbrenner Hospital,Hôpital Sensenbrenner,Kapuskasing,7 Aurora Avenue,7 avenue Aurora,P5N 1J6,ON,49.419325,-82.429848,North,Nord,17,Porcupine Health Unit,Bureau de santé publique de Porcupine,705-367-4613,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,9:00-12:00,,,9:00-12:00,Yes,Yes,No,No,,Yes,,,0m,Yes,No,,No,,,,Yes,,,,,
Yes,86,Meno Ya Win Health Centre,Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,Sioux Lookout,1 Meno Ya Win Way,1 chemin Meno Ya Win,P8T 1B4,ON,50.106023,-91.927950,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,1-807-737-5880,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,,,0m,Yes,No,,Yes,Located in the front parking lot of the hospital. A nurse will come outside to provide instructions. Stay in your car at all times.,Situé dans le stationnement avant de l’hôpital.,,Yes,,,,,
